 Rank   | Clan   | Tanks   | Participants   | Rate
--------+--------+---------+----------------+---------
 001    | ICOH   | 66      | 93             | 70.97%
 002    | TILT   | 60      | 93             | 64.52%
 003    | CH3SS  | 59      | 83             | 71.08%
 004    | FMGG   | 57      | 79             | 72.15%
 005    | RDDT   | 54      | 92             | 58.70%
 006    | MIRKO  | 53      | 87             | 60.92%
 007    | OMGOD  | 53      | 76             | 69.74%
 008    | WORTH  | 49      | 98             | 50.00%
 009    | SL3M   | 48      | 94             | 51.06%
 010    | BLU3_  | 47      | 77             | 61.04%
 011    | GIFTD  | 46      | 64             | 71.88%
 012    | MEME   | 45      | 77             | 58.44%
 013    | WHAT5  | 45      | 79             | 56.96%
 014    | R_QR   | 44      | 72             | 61.11%
 015    | CSBZS  | 42      | 63             | 66.67%
 016    | TR_OM  | 42      | 100            | 42.00%
 017    | 3NRGY  | 42      | 64             | 65.62%
 018    | TIPI-  | 41      | 73             | 56.16%
 019    | FX     | 41      | 77             | 53.25%
 020    | KVVAS  | 41      | 84             | 48.81%
 021    | CSOH   | 40      | 60             | 66.67%
 022    | YUUUP  | 40      | 85             | 47.06%
 023    | 4FG    | 39      | 66             | 59.09%
 024    | INV1L  | 39      | 66             | 59.09%
 025    | MAUO   | 39      | 79             | 49.37%
 026    | T-14   | 38      | 83             | 45.78%
 027    | ARCTI  | 38      | 83             | 45.78%
 028    | 3PX    | 36      | 67             | 53.73%
 029    | GNXMI  | 36      | 62             | 58.06%
 030    | IC0H   | 36      | 97             | 37.11%
 031    | STRGV  | 34      | 81             | 41.98%
 032    | FUNTO  | 34      | 70             | 48.57%
 033    | R_D1   | 33      | 69             | 47.83%
 034    | RDDTX  | 33      | 97             | 34.02%
 035    | MIRKQ  | 32      | 67             | 47.76%
 036    | B3NG   | 31      | 79             | 39.24%
 037    | PERL   | 31      | 57             | 54.39%
 038    | -RLD-  | 31      | 77             | 40.26%
 039    | TENTS  | 31      | 71             | 43.66%
 040    | KMLTR  | 31      | 61             | 50.82%
