 Index   | Name                     | Rank   | Clan   | Rank
---------+--------------------------+--------+--------+--------
 001     | rozllikad                | 1      | TILT   | 2
 002     | panzfury                 | 2      | INVIL  | 1
 003     | Kubaz___                 | 3      | INVIL  | 1
 004     | Like_____                | 4      | INVIL  | 1
 005     | Alyae                    | 5      | TILT   | 2
 006     | hannez                   | 6      | TILT   | 2
 007     | Mehecske_02              | 7      | TRIGG  | 9
 008     | call_me_Piotr            | 8      | INVIL  | 1
 009     | magiqueII                | 10     | TILT   | 2
 010     | OrzechOnPhaze            | 11     | INVIL  | 1
 011     | T_44_100_Lover           | 12     | INVIL  | 1
 012     | Dani2999                 | 13     | TRIGG  | 9
 013     | BestSpiler               | 14     | TRIGG  | 9
 014     | Luonteri                 | 15     | HABSB  | 10
 015     | WooDooG_junior           | 16     | ANWAY  | 7
 016     | _sokar                   | 17     | INVIL  | 1
 017     | __Cry1ngSoul_            | 18     | ANWAY  | 7
 018     | NlCO_                    | 20     | TILT   | 2
 019     | Lemisandrus              | 21     | TILT   | 2
 020     | _S4MU_                   | 22     | TRIGG  | 9
 021     | monsteryo                | 23     | INVIL  | 1
 022     | T1_PabuX                 | 26     | GNXMI  | 6
 023     | ChristianHorner_         | 27     | TRIGG  | 9
 024     | kajaklu                  | 29     | PERL   | 8
 025     | Svitman                  | 30     | TILT   | 2
 026     | miku_xD                  | 31     | GNXMI  | 6
 027     | sem1411                  | 32     | TILT   | 2
 028     | _Bart_is_Pepega          | 33     | PERL   | 8
 029     | _NavySeal_               | 34     | -RLD-  | 13
 030     | MlDGE                    | 35     | -RLD-  | 13
 031     | IceSanY                  | 36     | TRIGG  | 9
 032     | jaeckefa_on_COPIUM       | 39     | TILT   | 2
 033     | Is_SHARK_Goedt           | 45     | -RLD-  | 13
 034     | Eric_lnReal              | 47     | FX     | 5
 035     | CHABR_Jajas              | 48     | ANWAY  | 7
 036     | Neva__                   | 49     | MVPS   | 12
 037     | __NK                     | 50     | TRIGG  | 9
 038     | _NeverForgetMe_          | 51     | TENTS  | 3
 039     | LB_TheGamer              | 53     | PERL   | 8
 040     | ViIlentretenmerth        | 55     | MVPS   | 12
 041     | _LightningX              | 56     | -RLD-  | 13
 042     | Stany_eXots              | 58     | ANWAY  | 7
 043     | Marcesz_Kft              | 59     | TRIGG  | 9
 044     | Abba_on_Feathers         | 61     | TILT   | 2
 045     | Shocker_InReal           | 62     | FX     | 5
