 Rank   | Clan   | Tanks   | Participants   | Rate
--------+--------+---------+----------------+--------
 001    | ICOH   | 66      | 94             | 70.21%
 002    | CH3SS  | 63      | 90             | 70.00%
 003    | TILT   | 59      | 93             | 63.44%
 004    | RDDT   | 58      | 97             | 59.79%
 005    | FMGG   | 57      | 80             | 71.25%
 006    | MIRKO  | 55      | 92             | 59.78%
 007    | OMGOD  | 55      | 80             | 68.75%
 008    | BLU3_  | 50      | 83             | 60.24%
 009    | WORTH  | 48      | 100            | 48.00%
 010    | GIFTD  | 46      | 65             | 70.77%
 011    | WHAT5  | 46      | 81             | 56.79%
 012    | ARCTI  | 46      | 91             | 50.55%
 013    | 3PX    | 44      | 76             | 57.89%
 014    | R_QR   | 44      | 70             | 62.86%
 015    | FX     | 43      | 79             | 54.43%
 016    | SL3M   | 43      | 94             | 45.74%
 017    | MEME   | 43      | 77             | 55.84%
 018    | ANWAY  | 42      | 73             | 57.53%
 019    | CSBZS  | 42      | 63             | 66.67%
 020    | 3NRGY  | 42      | 63             | 66.67%
 021    | TIPI-  | 41      | 73             | 56.16%
 022    | GNXMI  | 40      | 68             | 58.82%
 023    | CSOH   | 40      | 57             | 70.18%
 024    | 4FG    | 39      | 72             | 54.17%
 025    | MAUO   | 39      | 79             | 49.37%
 026    | YUUUP  | 39      | 84             | 46.43%
 027    | INV1L  | 38      | 69             | 55.07%
 028    | T-14   | 37      | 84             | 44.05%
 029    | PERL   | 36      | 64             | 56.25%
 030    | TENTS  | 36      | 77             | 46.75%
 031    | KVVAS  | 35      | 84             | 41.67%
 032    | IC0H   | 35      | 97             | 36.08%
 033    | B3NG   | 34      | 83             | 40.96%
 034    | TR_OM  | 34      | 100            | 34.00%
 035    | MIRKQ  | 34      | 77             | 44.16%
 036    | HESH_  | 33      | 84             | 39.29%
 037    | FUNTO  | 33      | 67             | 49.25%
 038    | R_D1   | 32      | 69             | 46.38%
 039    | STRGV  | 32      | 80             | 40.00%
 040    | _AOG_  | 32      | 57             | 56.14%
 041    | KMLTR  | 31      | 61             | 50.82%
 042    | CSA    | 31      | 52             | 59.62%
 043    | GTD    | 31      | 76             | 40.79%
 044    | _RLD_  | 31      | 76             | 40.79%
 045    | VISN   | 31      | 47             | 65.96%
 046    | RDDTX  | 31      | 96             | 32.29%
 047    | -RLD-  | 30      | 78             | 38.46%
 048    | DRKOL  | 30      | 58             | 51.72%
 049    | G-ON   | 30      | 65             | 46.15%
 050    | CUDRA  | 30      | 63             | 47.62%
 051    | TRUC   | 30      | 74             | 40.54%
 052    | TRIGG  | 29      | 84             | 34.52%
 053    | 2DBFL  | 29      | 74             | 39.19%
 054    | GHS    | 29      | 86             | 33.72%
 055    | -FREI  | 29      | 59             | 49.15%
 056    | HABSB  | 28      | 66             | 42.42%
 057    | NOM1   | 28      | 84             | 33.33%
 058    | WAYR   | 28      | 83             | 33.73%
 059    | L0RD_  | 28      | 66             | 42.42%
 060    | INCT   | 28      | 61             | 45.90%
 061    | WEARE  | 28      | 46             | 60.87%
 062    | H_E_D  | 28      | 60             | 46.67%
 063    | ENJ0Y  | 27      | 70             | 38.57%
 064    | -3AM-  | 27      | 61             | 44.26%
 065    | BEONE  | 27      | 93             | 29.03%
 066    | BAL0U  | 26      | 82             | 31.71%
 067    | EXTR4  | 26      | 63             | 41.27%
 068    | MSTIC  | 26      | 74             | 35.14%
 069    | UTPXD  | 26      | 68             | 38.24%
 070    | TREAD  | 25      | 45             | 55.56%
 071    | CBAIT  | 25      | 90             | 27.78%
 072    | P5F    | 25      | 40             | 62.50%
 073    | -NARF  | 25      | 84             | 29.76%
 074    | SANDY  | 24      | 97             | 24.74%
 075    | ORDA   | 24      | 73             | 32.88%
 076    | 1BKPO  | 24      | 51             | 47.06%
 077    | 8923   | 23      | 77             | 29.87%
 078    | INV2L  | 23      | 66             | 34.85%
 079    | CYOU   | 23      | 44             | 52.27%
 080    | TRUT-  | 22      | 38             | 57.89%
 081    | OKEY   | 22      | 50             | 44.00%
 082    | METOX  | 22      | 53             | 41.51%
 083    | W3RNG  | 22      | 93             | 23.66%
 084    | KN4    | 21      | 63             | 33.33%
 085    | _LAST  | 21      | 47             | 44.68%
 086    | POGU_  | 21      | 53             | 39.62%
 087    | MVPS   | 20      | 45             | 44.44%
 088    | TI3OX  | 20      | 39             | 51.28%
 089    | INVIL  | 19      | 48             | 39.58%
 090    | -NWS-  | 19      | 42             | 45.24%
 091    | TRIFI  | 19      | 52             | 36.54%
 092    | ALL1N  | 19      | 74             | 25.68%
 093    | TN0R   | 19      | 72             | 26.39%
 094    | NONET  | 19      | 75             | 25.33%
 095    | KOPM2  | 17      | 23             | 73.91%
 096    | ECB-G  | 17      | 60             | 28.33%
 097    | TDSTR  | 17      | 64             | 26.56%
 098    | APAZ   | 17      | 84             | 20.24%
 099    | SWEIN  | 17      | 48             | 35.42%
 100    | HAPPS  | 17      | 73             | 23.29%
 101    | LACHY  | 17      | 64             | 26.56%
 102    | BEYOU  | 17      | 45             | 37.78%
 103    | IDUNO  | 17      | 74             | 22.97%
 104    | DAILY  | 17      | 66             | 25.76%
 105    | EXCEL  | 16      | 26             | 61.54%
 106    | LZ-SQ  | 16      | 46             | 34.78%
 107    | -INVA  | 16      | 44             | 36.36%
 108    | QUENS  | 15      | 81             | 18.52%
 109    | PENGW  | 15      | 26             | 57.69%
