 Index   | Name                     | Rank   | Clan   | Rank
---------+--------------------------+--------+--------+--------
 001     | RickOShe                 | 1      | TENTS  | 2
 002     | Adas_Imperius            | 2      | NOMI   | 10
 003     | jaeckefa_on_COPIUM       | 3      | TENTS  | 2
 004     | XXSqueezy                | 4      | LVRIC  | 5
 005     | PATRAS_JAK_MRAKY         | 5      | RDDT   | 4
 006     | R4dim_is_GreatAgain      | 6      | CSA    | 1
 007     | adamek65                 | 7      | NOMI   | 10
 008     | sakalito                 | 8      | CSA    | 1
 009     | PrzyjdzPan_Harrington    | 9      | NOMI   | 10
 010     | sssHORSE                 | 10     | CSA    | 1
 011     | kASIKof                  | 11     | RDDT   | 4
 012     | Frolysaurus              | 12     | CSA    | 1
 013     | NevaII                   | 13     | LVRIC  | 5
 014     | magiqueII                | 14     | CSA    | 1
 015     | HanGiE_                  | 15     | CSA    | 1
 016     | Hosmo_                   | 16     | CSA    | 1
 017     | Michael_Valitort         | 17     | NOMI   | 10
 018     | 8OT_                     | 18     | RDDT   | 4
 019     | rozllikad                | 19     | CSA    | 1
 020     | KiPiK__                  | 20     | FX     | 7
 021     | CHABR_Lukyn              | 21     | RDDT   | 4
 022     | combat5508_eSuba         | 22     | CSA    | 1
 023     | Higo_                    | 23     | CSA    | 1
 024     | Blue__O_OII              | 24     | FX     | 7
 025     | Synop_s                  | 25     | FX     | 7
 026     | Randger_is_uNReal        | 26     | FX     | 7
 027     | Glaome_                  | 27     | FX     | 7
 028     | Niklas_InReal            | 28     | FX     | 7
 029     | KtuIu                    | 29     | RDDT   | 4
 030     | HaZe03                   | 30     | TREAD  | 3
 031     | yolo_Likell              | 31     | TENTS  | 2
 032     | Krea__                   | 32     | TRIGG  | 9
 033     | Radioactive_Tomek        | 33     | TREAD  | 3
 034     | BestSpiler               | 34     | TRIGG  | 9
 035     | UMUT_YARRAK__InReal      | 35     | FX     | 7
 036     | __NK                     | 37     | TRIGG  | 9
 037     | zavystar                 | 38     | RDDT   | 4
 038     | peacemaker_xD            | 39     | CSA    | 1
 039     | StepBro_Infinity         | 40     | TREAD  | 3
 040     | FeLi_                    | 41     | TENTS  | 2
 041     | vladiSIave               | 42     | LVRIC  | 5
 042     | Radioactive_Szymon       | 43     | TREAD  | 3
 043     | __DaRo                   | 44     | NOMI   | 10
 044     | WARUMBINICHGESICHTET     | 45     | ALL1N  | 12
 045     | ZiiTN                    | 46     | FX     | 7
 046     | HaarigerHero             | 48     | ALL1N  | 12
