 Index   | Name                     | Rank   | Clan   | Rank
---------+--------------------------+--------+--------+--------
 001     | IIomudop_MSK             | 1      | P_BY   | 26
 002     | Mr_barbarian             | 5      | 0IL    | 5
 003     | Diffynder                | 6      | QRAGE  | 6
 004     | EqualizeR4Ever           | 7      | MAWA   | 13
 005     | 9l_y_MAMbl_balerina      | 8      | 0IL    | 5
 006     | SummerOfHaze             | 10     | QRAGE  | 6
 007     | Sakres_                  | 12     | IEVGI  | 29
 008     | ArchiPWNZ                | 13     | 0IL    | 5
 009     | TpoJlbka                 | 15     | P_BY   | 26
 010     | LEXABANKA                | 17     | 0IL    | 5
 011     | 3AbbITA9I_JIerenga       | 20     | IEVGI  | 29
 012     | Erosheny4                | 25     | QRAGE  | 6
 013     | Mr_Tim_                  | 27     | FNTIK  | 10
 014     | Krestiki_Noliki_         | 28     | BEAPS  | 11
 015     | DeLViRiuS                | 29     | BEAPS  | 11
 016     | IICEBDO_IIOLEVOY         | 30     | MAWA   | 13
 017     | MuHePaI                  | 32     | P_BY   | 26
 018     | _Pixot_                  | 37     | IEVGI  | 29
 019     | F1uxe                    | 38     | P_BY   | 26
 020     | Wr2k_Humphries           | 39     | FNTIK  | 10
 021     | Evon1k_EGO               | 40     | KOPM2  | 7
 022     | CIownz                   | 43     | P_BY   | 26
 023     | Akula_jons               | 45     | KOPM2  | 7
 024     | _xo4y_ne4eHbKy           | 46     | BEAPS  | 11
 025     | lStream                  | 47     | 0IL    | 5
 026     | DVPxBOT                  | 48     | BEAPS  | 11
 027     | ZOODOO                   | 52     | HEAX   | 4
 028     | bondiana51               | 53     | MAWA   | 13
 029     | Underwood_               | 55     | P_BY   | 26
 030     | Pinokalado               | 56     | P_BY   | 26
 031     | _DenSy_                  | 57     | UNSKD  | 32
 032     | TeamHandsUp              | 58     | TORND  | 34
 033     | nocJlegHuu_UmnepaTop_    | 59     | KOPM2  | 7
 034     | Ma9IBKa                  | 63     | P_BY   | 26
 035     | sasa1109                 | 65     | B-O-V  | 16
 036     | JMblX                    | 68     | BEAPS  | 11
 037     | Barsuq                   | 69     | B-O-V  | 16
 038     | Sky_DCP46plus1           | 71     | KOPM2  | 7
 039     | l7OJlOBOU_KOMAHgUP       | 75     | FNTIK  | 10
 040     | XXDesert                 | 76     | -AIFA  | 2
 041     | Serezha_prodam_trusiki   | 78     | BEAPS  | 11
 042     | XOneMoreX                | 82     | V1TEZ  | 9
 043     | End0rphin                | 85     | V1TEZ  | 9
 044     | Only_MIYAGI              | 86     | AJIEN  | 19
 045     | CrystaII                 | 91     | -AIFA  | 2
 046     | CJIa6OE_3BEHO            | 95     | FNTIK  | 10
 047     | Pindrez_                 | 97     | 60KAL  | 23
 048     | 3a_PyJleM_CyeToJIor      | 100    | 60KAL  | 23
 049     | ISuetolog                | 103    | HEAX   | 4
 050     | MoonlightGod             | 104    | HEAX   | 4
 051     | Doxtor_Urolog            | 106    | AJIEN  | 19
 052     | INSIGHF                  | 110    | 0IL    | 5
 053     | Quterke                  | 112    | P_BY   | 26
 054     | ThDogi                   | 116    | S__BY  | 8
 055     | V0ndr                    | 117    | IEVGI  | 29
 056     | GIGULI                   | 118    | BEAPS  | 11
 057     | EQUILIBRIUM____          | 120    | ZENIX  | 27
 058     | kaktus94                 | 122    | IEVGI  | 29
 059     | KUDMOOD                  | 123    | RELOL  | 36
 060     | DeSaSteR_                | 128    | P_BY   | 26
 061     | Reazex                   | 129    | 60KAL  | 23
 062     | twoFAC3D                 | 134    | HEAX   | 4
 063     | Wonder0fYou              | 136    | S__BY  | 8
 064     | Cr1stal_Un1verse         | 137    | IEVGI  | 29
 065     | m4329                    | 138    | BEAPS  | 11
 066     | Kaer__Morhen             | 141    | BEAPS  | 11
 067     | Chuckin_Norris           | 142    | -AIFA  | 2
 068     | Verwaltungsamt           | 144    | AJIEN  | 19
 069     | dedushka_Ma3ay           | 146    | BEAPS  | 11
 070     | 6yJleT_Baw_noBeJluTeJlb  | 147    | BEAPS  | 11
 071     | adept_65                 | 151    | B-O-V  | 16
 072     | lndepender               | 153    | S__BY  | 8
 073     | _Burundu4ek_             | 155    | -AIFA  | 2
 074     | HarDTreSH                | 158    | IEVGI  | 29
 075     | Fannu                    | 160    | BEARS  | 1
 076     | __Mysterious__           | 161    | S__BY  | 8
 077     | ChillHock                | 162    | P_BY   | 26
 078     | shadowstyl               | 163    | S__BY  | 8
 079     | scorp61                  | 165    | P_BY   | 26
 080     | _DaRk_T1Me_              | 167    | IEVGI  | 29
 081     | Despersion               | 170    | MI1ND  | 3
 082     | ATOMxD_YouTube           | 171    | 0IL    | 5
 083     | _SkyMear_                | 173    | BEAPS  | 11
 084     | xxXBlessedXxx            | 176    | V1TEZ  | 9
 085     | Antoni0_Silva            | 179    | CR_PA  | 14
 086     | Sh0ker_                  | 183    | HEAX   | 4
 087     | _IDreamcatcherI_         | 194    | BKYCU  | 37
 088     | Heart_of_Hate            | 195    | ESEA   | 21
 089     | exVincent                | 198    | FNTIK  | 10
 090     | PuuuuuuuH                | 201    | UNSKD  | 32
 091     | _PHANTOMIC_              | 204    | MI1ND  | 3
 092     | Bludda_u3_I7AHD          | 210    | FNTIK  | 10
 093     | A_Reason_To_Fight        | 211    | B-O-V  | 16
 094     | GalaxyApple              | 212    | 0IL    | 5
