 Index   | Name                   | Rank   | Clan   | Rank
---------+------------------------+--------+--------+--------
 001     | IIomudop_MSK           | 1      | P_BY   | 3
 002     | Aggress1ve             | 2      | HHEIM  | 5
 003     | TeamHandsUp            | 3      | P_BY   | 3
 004     | SummerOfHaze           | 4      | QRAGE  | 6
 005     | ceXvredina             | 5      | HHEIM  | 5
 006     | lexa_men               | 6      | HHEIM  | 5
 007     | kopiat                 | 8      | HHEIM  | 5
 008     | ReliaNce_0n_God        | 9      | HHEIM  | 5
 009     | LaHaine                | 10     | HHEIM  | 5
 010     | RandomStyIe            | 13     | HHEIM  | 5
 011     | I_am_4CB               | 14     | HHEIM  | 5
 012     | Sakres_                | 15     | IEVGI  | 13
 013     | allStail               | 16     | HHEIM  | 5
 014     | Diffynder              | 18     | QRAGE  | 6
 015     | F1uxe                  | 19     | P_BY   | 3
 016     | DeSaSteR_              | 20     | P_BY   | 3
 017     | Elus1oN                | 21     | HHEIM  | 5
 018     | CIownz                 | 24     | P_BY   | 3
 019     | 3AbbITA9I_JIerenga     | 25     | IEVGI  | 13
 020     | Paradisik              | 26     | P_BY   | 3
 021     | Ceisa                  | 27     | HHEIM  | 5
 022     | Paranoique             | 28     | P_BY   | 3
 023     | Lokire                 | 29     | P_BY   | 3
 024     | HarDTreSH              | 30     | IEVGI  | 13
 025     | StILL61rus             | 33     | IEVGI  | 13
 026     | ArchiPWNZ              | 34     | WEIDE  | 7
 027     | Geraksus               | 37     | IEVGI  | 13
 028     | Du3eJIb_FOXIE          | 40     | X-AOS  | 14
 029     | _S0S_                  | 41     | -AIFA  | 2
 030     | Relimn                 | 42     | WEIDE  | 7
 031     | NagibPoRussia          | 43     | VNDLS  | 16
 032     | D_O_K01                | 44     | VNDLS  | 16
 033     | BacuJIek_              | 46     | -AIFA  | 2
 034     | Digoretc               | 48     | KOMB   | 15
 035     | Brain_Breaker          | 49     | P_BY   | 3
 036     | sexyJIu4HocTb          | 52     | IEVGI  | 13
 037     | lBepTyXa               | 57     | P_BY   | 3
 038     | AggressiveFlamie       | 59     | P_BY   | 3
 039     | Mr_Nemykin             | 60     | WEIDE  | 7
 040     | AstraIIis              | 61     | -AIFA  | 2
 041     | Depa_Y                 | 62     | X-AOS  | 14
 042     | AIienated              | 64     | QRNGE  | 10
 043     | MaKro4eJIuk            | 66     | IEVGI  | 13
 044     | sexIIUBO               | 67     | HEAX   | 9
 045     | TpoJlbka               | 68     | P_BY   | 3
 046     | MuHePaI                | 71     | P_BY   | 3
 047     | the_Atmsfrea_          | 73     | HEAX   | 9
 048     | xNFT                   | 74     | KOMB   | 15
 049     | 666Clowns              | 76     | P_BY   | 3
 050     | _Evgeny_97_FOXIE       | 77     | X-AOS  | 14
 051     | IggyAzaIea             | 79     | IEVGI  | 13
 052     | shuxue                 | 80     | QRNGE  | 10
 053     | Despersion             | 82     | P_BY   | 3
 054     | PACXOD_O4KA            | 83     | HEAX   | 9
 055     | lg_NFS                 | 85     | HEAX   | 9
 056     | Cr1stal_Un1verse       | 87     | QRAGE  | 6
 057     | darkkil0               | 90     | HEAX   | 9
 058     | XXDesert               | 93     | -AIFA  | 2
 059     | _Cloverfield_          | 95     | P_BY   | 3
 060     | syracard               | 103    | P_BY   | 3
 061     | QuietPain              | 105    | -AIFA  | 2
 062     | Vratnik                | 106    | QRAGE  | 6
 063     | Dragoteem              | 107    | -AIFA  | 2
 064     | ZaRaZnblY_AnimeLLlNIK  | 108    | HEAX   | 9
 065     | TheKam1kaze            | 109    | KOMB   | 15
 066     | SqueezyToxic           | 114    | BEARS  | 1
 067     | Akamezyda              | 118    | BEARS  | 1
 068     | _TRAnquility__         | 120    | WEIDE  | 7
 069     | Erosheny4              | 121    | QRAGE  | 6
 070     | PANZER_V0R             | 122    | IEVGI  | 13
 071     | _Kvik__                | 123    | X-AOS  | 14
 072     | Stell_Word             | 124    | HEAX   | 9
 073     | RatedR                 | 125    | QRAGE  | 6
 074     | Bumblebee_XX           | 127    | QRAGE  | 6
 075     | TrashPanda             | 130    | BEARS  | 1
 076     | IQarI                  | 131    | P_BY   | 3
 077     | mentouSasaki           | 133    | BEARS  | 1
 078     | B1ackP4w               | 134    | BEARS  | 1
 079     | FILIGRANNO             | 140    | P_BY   | 3
 080     | imerkulov              | 143    | X-AOS  | 14
 081     | Edjescaren             | 145    | IEVGI  | 13
 082     | BZDanya                | 146    | HEAX   | 9
 083     | 0ptimuc                | 150    | HEAX   | 9
 084     | __TheStorm__           | 152    | HEAX   | 9
 085     | Templeton_P_R_SouL     | 153    | QRAGE  | 6
 086     | Mr_Kareliya            | 154    | HEAX   | 9
 087     | The_R_i_p_King         | 157    | -AIFA  | 2
 088     | ANTONSN                | 160    | VNDLS  | 16
 089     | BerserkerR_26664       | 161    | VNDLS  | 16
 090     | mooNinja               | 162    | BEARS  | 1
 091     | valentinovna_slave     | 163    | X-AOS  | 14
 092     | _gasdff                | 164    | WEIDE  | 7
 093     | 9l_He_4CB              | 166    | HEAX   | 9
 094     | _NiKoLo_               | 168    | HEAX   | 9
 095     | eXEviL                 | 169    | BEARS  | 1
 096     | lSmoku                 | 170    | QRNGE  | 10
 097     | ExTenz                 | 173    | KOMB   | 15
 098     | SpiritFury             | 174    | BEARS  | 1
 099     | Cyrexll                | 175    | -AIFA  | 2
 100     | CJIO1ILHbIu            | 176    | VNDLS  | 16
 101     | lFENDI                 | 181    | KOMB   | 15
 102     | Mr_InspectorDanndy     | 189    | VNDLS  | 16
 103     | Skyreachll             | 190    | P_BY   | 3
 104     | RussianSmith           | 196    | HEAX   | 9
 105     | PositiveII             | 197    | BEARS  | 1
